Country,Count,Year,Longitude,Latitude,EntryDate
China,3,2011-2013,103.0537,33.96319,2011-10-01
Egypt,1,2011-2013,29.44076,26.56528,2011-10-01
Germany,2,2011-2013,10.08958,50.89547,2011-10-01
Iran,2,2011-2013,54.40727,32.81955,2011-10-01
Jordan,1,2011-2013,33.90304,31.09451,2011-10-01
Latvia,1,2011-2013,25.23057,56.89173,2011-10-01
Mexico,1,2011-2013,-102.0113,23.6783,2011-10-01
Romania,1,2011-2013,24.89585,45.76218,2011-10-01
Saudi-Arabia,1,2011-2013,45.0792,23.8859,2011-10-01
USA,1,2011-2013,-99.11908,40.18346,2011-10-01
China,3,2012-2014,103.0537,33.96319,2012-10-01
Czech Republic,1,2012-2014,15.61251,49.6821,2012-10-01
Germany,6,2012-2014,10.08958,50.89547,2012-10-01
Greece,2,2012-2014,21.86765,40.06927,2012-10-01
India,1,2012-2014,78.74966,22.40217,2012-10-01
Indonesia,1,2012-2014,114.43952,-0.69373,2012-10-01
Iran,1,2012-2014,54.40727,32.81955,2012-10-01
Kazakhstan,1,2012-2014,66.12433,49.11726,2012-10-01
Latvia,1,2012-2014,25.2881,56.92049,2012-10-01
Mexico,1,2012-2014,-102.0113,23.6783,2012-10-01
Russia,1,2012-2014,93.83313,62.81999,2012-10-01
UK,1,2012-2014,-2.04414,54.0335,2012-10-01
China,3,2013-2015,103.0537,33.96319,2013-10-01
Estonia,1,2013-2015,25.0136,58.5953,2013-10-01
Iceland,1,2013-2015,19.0208,64.9631,2013-10-01
Latvia,1,2013-2015,25.2881,56.92049,2013-10-01
Mongolia,1,2013-2015,103.8467,46.8625,2013-10-01
Morocco,1,2013-2015,-7.0926,31.7917,2013-10-01
Romania,1,2013-2015,24.89585,45.76218,2013-10-01
Spain,1,2013-2015,-3.48763,40.18433,2013-10-01
USA,1,2013-2015,-99.11908,40.18346,2013-10-01
Canada,1,2014-2016,-107.15243,56.38964,2014-10-01
China,3,2014-2016,103.0537,33.96319,2014-10-01
Egypt,1,2014-2016,29.44076,26.56528,2014-10-01
UK,1,2014-2016,-2.04414,54.0335,2014-10-01
Greece,1,2014-2016,21.86765,40.06927,2014-10-01
Hungary,1,2014-2016,19.18986,47.088,2014-10-01
India,2,2014-2016,78.74966,22.40217,2014-10-01
Iran ,2,2014-2016,54.40727,32.81955,2014-10-01
Slovakia,1,2014-2016,19.46183,48.69885,2014-10-01
Slovenia,1,2014-2016,19.46183,48.69885,2014-10-01
Sudan,1,2014-2016,-3.48763,40.18433,2014-10-01
Bangladesh,1,2015-2017,90.3563,23.685,2015-10-01
Bosnia and Herzegovina,2,2015-2017,17.6791,43.9159,2015-10-01
Brazil,1,2015-2017,-52.82966,10.27605,2015-10-01
China,7,2015-2017,103.0537,33.96319,2015-10-01
Egypt,1,2015-2017,29.44076,26.56528,2015-10-01
India,1,2015-2017,78.74966,22.40217,2015-10-01
Iran,1,2015-2017,54.40727,32.81955,2015-10-01
Namibia,1,2015-2017,18.4904,-22.9576,2015-10-01
Poland,1,2015-2017,19.77563,51.98332,2015-10-01
Turkey,1,2015-2017,35.2433,38.9637,2015-10-01
UK,2,2015-2017,-2.04414,54.0335,2015-10-01
Ukraine,1,2015-2017,30.86333,48.97082,2015-10-01
USA,1,2015-2017,-99.11908,40.18346,2015-10-01
Albania,1,2016-2018,19.98657,41.13184,2016-10-01
Austria,1,2016-2018,13.96156,47.35909,2016-10-01
Canada,1,2016-2018,-107.15243,56.38964,2016-10-01
China,1,2016-2018,103.0537,33.96319,2016-10-01
Colombia,1,2016-2018,-73.13619,3.33602,2016-10-01
Croatia,1,2016-2018,16.18782,45.63927,2016-10-01
Denmark,1,2016-2018,9.19001,56,2016-10-01
Ethiopia,1,2016-2018,39.31509,8.17643,2016-10-01
Georgia,1,2016-2018,43.3569,42.3154,2016-10-01
Germany,3,2016-2018,10.08958,50.89547,2016-10-01
India,1,2016-2018,78.74966,22.40217,2016-10-01
Indonesia,1,2016-2018,114.43952,-0.69373,2016-10-01
Ireland,1,2016-2018,-8.00639,53.17578,2016-10-01
Romania,1,2016-2018,24.89585,45.76218,2016-10-01
Russia,1,2016-2018,93.83313,62.81999,2016-10-01
USA,3,2016-2018,-99.11908,40.18346,2016-10-01
Argentina,1,2017-2019,-65.11679,-34.65506,2017-10-01
Bangladesh,1,2017-2019,90.3563,23.685,2017-10-01
China,3,2017-2019,103.0537,33.96319,2017-10-01
Ecuador,1,2017-2019,-78.42377,-1.50962,2017-10-01
Egypt,1,2017-2019,29.44076,26.56528,2017-10-01
Germany,1,2017-2019,10.08958,50.89547,2017-10-01
Ghana,1,2017-2019,-1.41653,8.00907,2017-10-01
Greece,1,2017-2019,21.86765,40.06927,2017-10-01
Kazakhstan,2,2017-2019,66.12433,49.11726,2017-10-01
Kenya,1,2017-2019,37.67286,0.12216,2017-10-01
Lebanon,1,2017-2019,35.80573,33.90304,2017-10-01
Malaysia,1,2017-2019,101.9758,4.2105,2017-10-01
Mexico,2,2017-2019,-102.0113,23.6783,2017-10-01
Netherlands,1,2017-2019,5.56036,52.29713,2017-10-01
Poland,1,2017-2019,19.77563,51.98332,2017-10-01
Serbia,1,2017-2019,21.0059,44.0165,2017-10-01
Spain,1,2017-2019,-3.48763,40.18433,2017-10-01
Taiwan,1,2017-2019,120.9605,23.6978,2017-10-01
Turkey,1,2017-2019,35.2433,38.9637,2017-10-01
USA,1,2017-2019,-99.11908,40.18346,2017-10-01
Bangladesh,1,2018-2020,90.3563,23.685,2018-10-01
China,1,2018-2020,103.0537,33.96319,2018-10-01
Colombia,1,2018-2020,-73.13619,3.33602,2018-10-01
France,1,2018-2020,2.80935,46.8788,2018-10-01
Germany,4,2018-2020,10.08958,50.89547,2018-10-01
Greece,1,2018-2020,21.86765,40.06927,2018-10-01
India,2,2018-2020,78.74966,22.40217,2018-10-01
Iran,1,2018-2020,54.40727,32.81955,2018-10-01
Italy,1,2018-2020,11.10421,44.35791,2018-10-01
Kazakhstan,1,2018-2020,66.12433,49.11726,2018-10-01
Nigeria,2,2018-2020,7.76744,9.09692,2018-10-01
Pakistan,2,2018-2020,69.3451,30.3753,2018-10-01
Philippines,1,2018-2020,121.774,12.8797,2018-10-01
Russia,2,2018-2020,93.83313,62.81999,2018-10-01
Trinidad and Tobago,1,2018-2020,-61.2225,10.6918,2018-10-01
UK,3,2018-2020,-2.04414,54.0335,2018-10-01
Ukraine,1,2018-2020,30.86333,48.97082,2018-10-01
USA,3,2018-2020,-99.11908,40.18346,2018-10-01
Zimbabwe,1,2018-2020,29.9533,-18.95706,2018-10-01
